Date,Revenue_MillionUSD,Expenses_MillionUSD,MarketingSpend_MillionUSD,Revenue_for_Scatter_MillionUSD
2024-01-31,509.93,352.5,96.32,514.8326783595502
2024-02-29,515.42,390.39,82.55,514.2032156876196
2024-03-31,549.32,400.77,95.75,556.3369212989473
2024-04-30,585.01,402.12,92.5,596.0518352600388
2024-05-31,568.04,445.09,72.47,556.3444717901018
2024-06-30,586.23,376.27,54.77,573.5715545948411
2024-07-31,640.68,440.56,68.54,638.4219921261032
2024-08-31,642.62,456.2,83.44,628.1366349215754
2024-09-30,636.07,468.67,83.3,638.327336171659
2024-10-31,674.49,563.57,79.56,672.7886812298041
2024-11-30,672.55,443.82,63.74,712.0529233091818
2024-12-31,690.69,520.97,78.06,675.313636667837
